category,num_businesses,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife,family,romantic,friendship,professional
active,8726,69,25,10,63,1178,372,1906,38,99,227,192,57,2013,482,321,2701,711,36,47,73,27,142,2323,812,124,220,245,357,320,4,46,33,688,1972,37,94,47,1739,5331,1907,2803,454
arts,4228,57,32,18,49,899,286,809,22,43,184,126,132,1016,355,244,1840,569,30,41,92,27,78,1432,642,53,118,161,278,229,7,24,24,546,839,29,30,28,1082,2754,1381,1865,252
beautysvc,16154,269,108,29,159,2330,437,1078,19,363,537,493,64,3686,523,451,6442,1300,1,46,227,14,347,4028,3841,122,67,299,290,457,2,63,8,2649,1856,68,17,28,2388,10080,3606,6561,981
food,12664,157,62,45,164,2352,626,1712,12,126,377,657,136,2068,793,495,4238,1283,25,52,235,52,288,3748,1918,151,160,245,582,586,3,29,28,1336,1736,50,5,68,2732,7312,3421,4409,885
hotelstravel,5229,127,27,17,154,1334,462,1173,8,143,252,391,49,1407,626,350,1984,790,25,43,147,35,133,2421,1055,242,137,155,589,352,5,21,19,819,1191,101,5,58,1969,3897,1891,2086,609
nightlife,3290,30,33,16,39,969,286,227,19,29,197,173,203,337,217,198,2031,625,5,18,36,11,112,1166,294,52,28,36,160,227,4,11,6,383,282,31,8,21,908,1918,1393,2052,251
restaurants,47997,1910,680,602,1860,21376,7478,12423,205,897,4145,8652,4857,14901,9129,6322,28814,14111,98,737,3100,619,3056,27044,15040,1236,1404,1960,7034,8624,56,188,313,10785,14276,1373,51,959,23918,37173,26544,29250,9960
shopping,25003,291,85,39,240,2935,886,2435,18,415,433,399,88,4491,1667,1133,6445,1875,56,158,567,87,351,6683,4248,346,261,497,965,802,11,95,36,2170,3534,113,45,97,5420,15398,5312,6819,1067
